western_diagnosis,n_cases,tcm_disease,top_patterns,top_herbs,procedures
腰椎间盘突出,41,腰痹、腰痛、脊痹,肝肾不足、气血痹阻、寒湿痹阻,甘草、桂枝、当归、白芍、独活、桑寄生,平衡罐、放血疗法、拔罐、针灸
颈椎病,26,项痹、脊痹、痹证,气血痹阻、肝肾不足、少阳证,桂枝、葛根、甘草、茯苓、丹参、薏苡仁,平衡罐、放血疗法、火罐、拔平衡罐
肩袖损伤,14,肩痹,气血痹阻、气血痹阻症、肝肾不足,茯苓、桂枝、赤芍、桃仁、黄芪、牡丹皮,放血疗法、中医拔罐疗法、拔罐、平衡罐
膝关节病,12,膝痹,气血痹阻、肝肾不足、气滞血瘀,牛膝、党参、当归、甘草、白术、木瓜,放血疗法、平衡罐、灵仙外用方外用、针灸
腰痛,6,,气血痹阻、气滞血瘀、肝肾不足,丹参、桂枝、茯苓、甘草片、党参、山药,拔罐、平衡罐、放血疗法、艾瑞昔布
骨关节病,3,骨痹,气血痹阻、肝肾不足,党参、当归、甘草、砂仁、熟地黄、山药,放血疗法、拔罐
膝骨关节炎,3,膝痹,气阴两虚、肝肾亏虚,党参、当归、白术、熟地黄、蜜甘草、黄芪,配方颗粒剂
骨质疏松,3,骨痿,肝肾不足、气血痹阻、脾胃气虚,茯苓、牛膝、薏苡仁、熟地黄、山药、当归,拔罐、中药配方颗粒、椎体成形术、平衡罐
髌骨骨折,3,骨折病,气滞血瘀,桂枝、茯苓、桃仁、牡丹皮、赤芍、太子参,
腰椎骨折,2,,肝肾不足、气血痹阻,熟地黄、山药、当归、丹参、酒萸肉、泽泻,中药配方颗粒
膝关节痛,2,膝痹,少阳证类、气血痹阻,牛膝、柴胡、龙骨、黄芩、生姜、党参,泥灸、督脉灸
膝关节退行性改变,2,膝痹,气血痹阻、寒湿痹阻、气滞血瘀,桂枝、当归、白芍、细辛、甘草、通草,火罐、放血疗法、三伏贴
颈椎间盘突出,2,项痹,气滞血瘀、寒湿痹阻,薏苡仁、桂枝、通草、防风、甘草、葛根,平衡罐、药枕外熏
肋骨骨折,2,骨折病,气滞血瘀、肝肾阴虚,茯苓、桃仁、桔梗、甘草、姜半夏、桂枝,外敷
半月板变性,1,,气血痹阻,当归、熟地黄、白术、牛膝、五加皮、木瓜,
右膝滑膜炎,1,膝痹,热瘀互结、湿热痹阻,苍术、川牛膝、黄柏、银花、天花粉、甲珠,中药汤剂
膝关节骨性关节炎,1,膝痹,寒湿阻络证,川牛膝、红花、当归尾、乳香、没药、艾叶,活络除弊膏外用、膝关节功能操训练
脊柱侧弯,1,腰痛,肾虚不固证,菟丝子、枸杞子、醋五味子、车前子、覆盆子、当归,
隐性脊柱裂,1,,肾虚不固证,菟丝子、枸杞子、醋五味子、车前子、覆盆子、当归,
腰椎侧弯,1,,肾虚不固证,菟丝子、枸杞子、醋五味子、车前子、覆盆子、当归,
颈椎生理曲度变直,1,,肾虚不固证,菟丝子、枸杞子、醋五味子、车前子、覆盆子、当归,
跟骨骨刺,1,筋痹,气血痹阻,桂枝、茯苓、甘草、丹皮、芍药、桃仁,泥灸
肌腱炎,1,,气血痹阻,桂枝、茯苓、甘草、丹皮、芍药、桃仁,泥灸
锁骨骨折,1,,气血痹阻,桂枝、茯苓、牡丹皮、桃仁、赤芍、丹参,锁骨骨折内固定、住院治疗
右侧半月板撕裂,1,,气血痹阻,桂枝、茯苓、牡丹皮、桃仁、赤芍、丹参,锁骨骨折内固定、住院治疗
右膝关节退行性改变,1,,气滞血瘀,桂枝、茯苓、桃仁、牡丹皮、赤芍、太子参,
膝关节退行性病变,1,膝痹,五脏不足兼气血痹阻,党参、熟地黄、白术、当归、甘草、牛膝,
损伤,1,,气滞血瘀、气血痹阻,桂枝、茯苓、桃仁、牡丹皮、赤芍、薏苡仁,外用疗法
脊椎病,1,,少阳证,桂枝、白芍、大枣、甘草、柴胡、黄芩,平衡罐治疗
咳嗽,1,,痰湿内阻证,竹茹、麸枳实、姜半夏、陈皮、茯苓、甘草,
肥胖,1,,痰湿内阻证,竹茹、麸枳实、姜半夏、陈皮、茯苓、甘草,
类风湿性关节炎,1,腰痛,,,
多汗症,1,,营卫不和、卫阳不固证,桂枝、白芍、生姜、大枣、麻黄根、附片,
软组织疾患,1,,五脏不足兼气血痹阻、肝肾不足,,灵仙外用方外用
跖骨骨折,1,骨折病,气滞血瘀,桂枝、茯苓、桃仁、牡丹皮、赤芍、牛膝,外敷
骶骨骨折,1,骨折病,气滞血瘀,桂枝、茯苓、桃仁、牡丹皮、赤芍、牛膝,外敷
胸椎骨折,1,骨痿,肝肾不足、脾胃气虚,党参、地黄、山药、酒萸肉、杜仲、枸杞子,椎体成形术、平衡罐、针灸、小针刀
胃痛,1,胃脘痛,肝肾不足、脾胃气虚,党参、地黄、山药、酒萸肉、杜仲、枸杞子,椎体成形术、平衡罐、针灸、小针刀
桡骨远端骨折,1,骨折病,气滞血瘀,桂枝、茯苓、桃仁、丹皮、赤芍、甘草,石膏固定术
尺骨茎突骨折,1,,气滞血瘀,桂枝、茯苓、桃仁、丹皮、赤芍、甘草,石膏固定术
踝关节痛,1,,气血痹阻,,浮针治疗
痛风,1,,气血痹阻,,浮针治疗
胃黏膜下隆起（间质瘤,1,,气血痹阻,,浮针治疗
外踝骨折,1,骨折病,气滞血瘀,桂枝、茯苓、桃仁、丹皮、赤芍、牛膝,
背痛,1,,气血痹阻,,平衡罐
脊髓型颈椎病,1,项痹,气滞血瘀,葛根、麻黄、桂枝、白芍、甘草、大枣,平衡罐、放血疗法、泥灸
足跟痛,1,,肝肾精血亏虚、虚火内生、湿浊痹阻、瘀血内停,党参、甘草、山药、熟地黄、当归、山茱萸,
膝骨关节病,1,膝痹,气血痹阻、肝肾不足,桂枝、茯苓、赤芍、牡丹皮、桃仁、黄芪,拔罐
肺恶性肿瘤,1,,气血痹阻、肝肾不足,桂枝、茯苓、赤芍、牡丹皮、桃仁、黄芪,拔罐
下肢肌痉挛,1,,脾肾阳虚、水湿内停、肺气不足,茯苓、桂枝、白术、甘草、黄芪、人参,
肩关节软组织损伤,1,,气滞血瘀、外伤瘀阻，肝肾不足,桂枝、茯苓、赤芍、牡丹皮、桃仁、丹参,
关节痛,1,,寒热错杂,北柴胡、黄芩、桂枝、生姜、姜半夏、党参,督脉灸治疗
关节病,1,,脾肾亏虚，痰瘀阻络证,薏苡仁、白术、泽泻、茯苓、桂枝,火罐、火龙罐疗法
脑内出血,1,中风病,气血痹阻,黄芪、赤芍、川芎、当归、丹参、桂枝,针灸治疗
右胫骨骨折,1,,气滞血瘀,桂枝、茯苓、赤芍、燀山桃仁、续断片、牡丹皮,拔罐
胫骨骨折,1,骨折病,气滞血瘀,桂枝、茯苓、赤芍、桃仁、牡丹皮、黄芪,
腓骨骨折,1,骨折病,气滞血瘀,桂枝、茯苓、赤芍、桃仁、牡丹皮、黄芪,
胫腓骨干骨折,1,骨折病,气滞血瘀、少阳证类、气血痹阻,桂枝、茯苓、燀山桃仁、丹参、赤芍、太子参,
失眠,1,,气滞血瘀、少阳证类、气血痹阻,桂枝、茯苓、燀山桃仁、丹参、赤芍、太子参,
胃恶性肿瘤,1,,气滞血瘀、少阳证类、气血痹阻,桂枝、茯苓、燀山桃仁、丹参、赤芍、太子参,
关节痛抑郁发作,1,,气血痹阻,桂枝、茯苓、赤芍、桃仁、牡丹皮、姜半夏,
